!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      5777.00    4.44    0.00    0.00       -38.671     -38.509     -38.111      -0.162      -0.560      -0.398
      1200.00    2.50    0.00    0.00       -31.479     -32.558     -33.185       1.079       1.706       0.627
      1200.00    3.00    0.00    0.00       -31.949     -32.961     -33.328       1.013       1.379       0.366
      1200.00    3.50    0.00    0.00       -32.383     -33.195     -33.170       0.811       0.787      -0.025
      1200.00    4.00    0.00    0.00       -32.484     -33.210     -33.132       0.726       0.648      -0.078
      1200.00    4.50    0.00    0.00       -32.396     -33.177     -33.142       0.781       0.745      -0.036
      1200.00    5.00    0.00    0.00       -32.860     -33.132     -32.823       0.272      -0.038      -0.309
      1200.00    5.50    0.00    0.00       -33.094     -33.063     -32.604      -0.031      -0.491      -0.460
      1300.00    2.50    0.00    0.00       -31.822     -32.808     -33.433       0.986       1.611       0.625
      1300.00    3.00    0.00    0.00       -32.490     -33.166     -33.594       0.676       1.104       0.428
      1300.00    3.50    0.00    0.00       -32.447     -33.385     -33.725       0.938       1.278       0.339
      1300.00    4.00    0.00    0.00       -32.642     -33.477     -33.613       0.835       0.972       0.136
      1300.00    4.50    0.00    0.00       -32.678     -33.513     -33.659       0.835       0.981       0.146
      1300.00    5.00    0.00    0.00       -32.955     -33.615     -33.433       0.660       0.478      -0.182
      1300.00    5.50    0.00    0.00       -33.182     -33.574     -33.210       0.392       0.028      -0.364
      1400.00    3.00    0.00    0.00       -33.137     -33.588     -33.932       0.451       0.795       0.344
      1400.00    3.50    0.00    0.00       -33.105     -33.680     -34.016       0.576       0.911       0.336
      1400.00    4.00    0.00    0.00       -32.785     -33.662     -34.042       0.877       1.258       0.381
      1400.00    4.50    0.00    0.00       -32.898     -33.745     -34.017       0.847       1.119       0.272
      1400.00    5.00    0.00    0.00       -33.030     -33.819     -34.008       0.789       0.978       0.189
      1400.00    5.50    0.00    0.00       -33.352     -33.886     -33.710       0.534       0.359      -0.176
      1500.00    2.50    0.00    0.00       -32.752     -33.358     -33.810       0.605       1.058       0.453
      1500.00    3.00    0.00    0.00       -32.092     -33.169     -33.816       1.077       1.724       0.647
      1500.00    3.50    0.00    0.00       -31.911     -33.118     -33.882       1.207       1.970       0.763
      1500.00    4.00    0.00    0.00       -32.765     -33.724     -34.303       0.959       1.538       0.579
      1500.00    4.50    0.00    0.00       -32.944     -33.843     -34.314       0.898       1.369       0.471
      1500.00    5.00    0.00    0.00       -33.132     -33.940     -34.277       0.808       1.145       0.337
      1500.00    5.50    0.00    0.00       -33.289     -34.028     -34.302       0.739       1.013       0.274
      1550.00    5.00    0.00    0.00       -33.074     -33.941     -34.385       0.867       1.311       0.443
      1550.00    5.50    0.00    0.00       -33.292     -34.062     -34.422       0.770       1.131       0.360
      1600.00    2.50    0.00    0.00       -33.594     -33.962     -34.253       0.368       0.659       0.291
      1600.00    3.00    0.00    0.00       -32.465     -33.387     -34.046       0.922       1.581       0.658
      1600.00    3.50    0.00    0.00       -32.118     -33.467     -34.286       1.349       2.168       0.819
      1600.00    4.00    0.00    0.00       -33.108     -33.948     -34.511       0.840       1.403       0.563
      1600.00    4.50    0.00    0.00       -33.151     -34.064     -34.584       0.913       1.432       0.519
      1600.00    5.00    0.00    0.00       -33.101     -33.974     -34.470       0.872       1.368       0.496
      1600.00    5.50    0.00    0.00       -33.354     -34.119     -34.500       0.765       1.146       0.381
      1650.00    5.00    0.00    0.00       -33.309     -34.190     -34.707       0.881       1.398       0.517
      1650.00    5.50    0.00    0.00       -33.594     -34.284     -34.570       0.690       0.977       0.286
      1700.00    2.50    0.00    0.00       -32.693     -33.625     -34.198       0.932       1.505       0.573
      1700.00    3.00    0.00    0.00       -33.158     -34.138     -34.642       0.980       1.484       0.503
      1700.00    3.50    0.00    0.00       -33.174     -34.233     -34.701       1.059       1.527       0.468
      1700.00    4.00    0.00    0.00       -33.582     -34.503     -34.877       0.922       1.296       0.374
      1700.00    4.50    0.00    0.00       -33.650     -34.435     -34.824       0.785       1.174       0.389
      1700.00    5.00    0.00    0.00       -33.570     -34.408     -34.858       0.838       1.288       0.450
      1700.00    5.50    0.00    0.00       -33.841     -34.465     -34.736       0.623       0.895       0.271
      1750.00    5.00    0.00    0.00       -33.802     -34.585     -34.945       0.783       1.143       0.360
      1750.00    5.50    0.00    0.00       -34.087     -34.632     -34.844       0.546       0.757       0.212
      1800.00    2.50    0.00    0.00       -33.427     -33.891     -34.287       0.464       0.860       0.396
      1800.00    3.00    0.00    0.00       -33.525     -34.268     -34.728       0.743       1.203       0.460
      1800.00    3.50    0.00    0.00       -34.061     -34.662     -34.928       0.602       0.868       0.266
      1800.00    4.00    0.00    0.00       -34.248     -34.825     -35.025       0.577       0.777       0.200
      1800.00    4.50    0.00    0.00       -34.145     -34.800     -35.011       0.655       0.867       0.211
      1800.00    5.00    0.00    0.00       -34.159     -34.839     -35.071       0.680       0.911       0.232
      1800.00    5.50    0.00    0.00       -34.400     -34.802     -34.894       0.402       0.494       0.092
      1850.00    5.00    0.00    0.00       -34.420     -35.032     -35.122       0.611       0.702       0.090
      1850.00    5.50    0.00    0.00       -34.680     -35.015     -35.013       0.335       0.333      -0.002
      1900.00    2.50    0.00    0.00       -33.740     -34.306     -34.594       0.566       0.854       0.288
      1900.00    3.00    0.00    0.00       -34.350     -34.772     -34.976       0.422       0.626       0.204
      1900.00    3.50    0.00    0.00       -34.598     -34.989     -35.127       0.391       0.530       0.139
      1900.00    4.00    0.00    0.00       -34.578     -35.045     -35.183       0.467       0.605       0.138
      1900.00    4.50    0.00    0.00       -34.708     -35.160     -35.206       0.452       0.498       0.046
      1900.00    5.00    0.00    0.00       -34.748     -35.211     -35.184       0.463       0.436      -0.026
      1900.00    5.50    0.00    0.00       -34.748     -35.051     -35.022       0.303       0.274      -0.029
      1950.00    5.00    0.00    0.00       -34.826     -35.293     -35.279       0.467       0.453      -0.014
      1950.00    5.50    0.00    0.00       -34.966     -35.240     -35.122       0.273       0.156      -0.117
      2000.00    2.50    0.00    0.00       -35.077     -35.218     -35.289       0.141       0.212       0.071
      2000.00    3.00    0.00    0.00       -34.901     -35.163     -35.274       0.261       0.372       0.111
      2000.00    3.50    0.00    0.00       -34.882     -35.200     -35.303       0.318       0.421       0.103
      2000.00    4.00    0.00    0.00       -35.046     -35.312     -35.363       0.265       0.317       0.052
      2000.00    4.50    0.00    0.00       -35.132     -35.382     -35.373       0.250       0.241      -0.009
      2000.00    5.00    0.00    0.00       -34.796     -35.284     -35.284       0.488       0.487      -0.000
      2000.00    5.50    0.00    0.00       -35.103     -35.349     -35.211       0.246       0.108      -0.139
      2050.00    2.50    0.00    0.00       -35.177     -35.328     -35.389       0.150       0.212       0.062
      2050.00    3.00    0.00    0.00       -35.173     -35.349     -35.404       0.177       0.232       0.055
      2050.00    3.50    0.00    0.00       -35.085     -35.335     -35.404       0.251       0.319       0.069
      2050.00    4.00    0.00    0.00       -35.155     -35.409     -35.429       0.254       0.274       0.020
      2050.00    4.50    0.00    0.00       -35.185     -35.448     -35.409       0.263       0.223      -0.039
      2050.00    5.00    0.00    0.00       -35.257     -35.541     -35.430       0.284       0.172      -0.112
      2100.00    2.50    0.00    0.00       -35.269     -35.390     -35.434       0.121       0.164       0.044
      2100.00    3.00    0.00    0.00       -35.177     -35.367     -35.431       0.189       0.254       0.065
      2100.00    3.50    0.00    0.00       -35.253     -35.429     -35.462       0.176       0.209       0.032
      2100.00    4.00    0.00    0.00       -35.315     -35.492     -35.476       0.177       0.161      -0.016
      2100.00    4.50    0.00    0.00       -35.340     -35.551     -35.525       0.211       0.185      -0.026
      2100.00    5.00    0.00    0.00       -35.348     -35.588     -35.458       0.240       0.110      -0.130
      2100.00    5.50    0.00    0.00       -35.458     -35.621     -35.341       0.163      -0.117      -0.280
      2150.00    2.50    0.00    0.00       -35.349     -35.490     -35.529       0.141       0.180       0.039
      2150.00    3.00    0.00    0.00       -35.353     -35.517     -35.552       0.164       0.199       0.035
      2150.00    3.50    0.00    0.00       -35.403     -35.556     -35.567       0.152       0.163       0.011
      2150.00    4.00    0.00    0.00       -35.447     -35.615     -35.592       0.168       0.145      -0.023
      2150.00    4.50    0.00    0.00       -35.409     -35.637     -35.585       0.228       0.176      -0.052
      2150.00    5.00    0.00    0.00       -35.406     -35.660     -35.549       0.253       0.143      -0.111
      2200.00    2.50    0.00    0.00       -35.501     -35.582     -35.589       0.081       0.088       0.007
      2200.00    3.00    0.00    0.00       -35.480     -35.592     -35.605       0.113       0.125       0.013
      2200.00    3.50    0.00    0.00       -35.489     -35.619     -35.620       0.130       0.131       0.000
      2200.00    4.00    0.00    0.00       -35.525     -35.669     -35.635       0.144       0.110      -0.033
      2200.00    4.50    0.00    0.00       -35.509     -35.685     -35.644       0.177       0.135      -0.041
      2200.00    5.00    0.00    0.00       -35.508     -35.758     -35.644       0.250       0.136      -0.114
      2200.00    5.50    0.00    0.00       -35.356     -35.578     -35.399       0.222       0.043      -0.179
      2250.00    2.50    0.00    0.00       -35.627     -35.691     -35.680       0.064       0.054      -0.010
