!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      5777.00    4.44    0.00    0.00       -39.567     -39.880     -39.952       0.312       0.385       0.073
      1200.00    2.50    0.00    0.00       -32.375     -33.929     -35.026       1.554       2.651       1.097
      1200.00    3.00    0.00    0.00       -32.845     -34.332     -35.169       1.487       2.324       0.837
      1200.00    3.50    0.00    0.00       -33.280     -34.566     -35.012       1.286       1.732       0.446
      1200.00    4.00    0.00    0.00       -33.381     -34.581     -34.974       1.200       1.593       0.392
      1200.00    4.50    0.00    0.00       -33.293     -34.549     -34.983       1.256       1.690       0.435
      1200.00    5.00    0.00    0.00       -33.757     -34.503     -34.664       0.746       0.908       0.161
      1200.00    5.50    0.00    0.00       -33.991     -34.434     -34.445       0.444       0.454       0.011
      1300.00    2.50    0.00    0.00       -32.719     -34.179     -35.275       1.460       2.556       1.095
      1300.00    3.00    0.00    0.00       -33.387     -34.537     -35.436       1.150       2.049       0.899
      1300.00    3.50    0.00    0.00       -33.343     -34.756     -35.566       1.413       2.223       0.810
      1300.00    4.00    0.00    0.00       -33.538     -34.848     -35.455       1.310       1.917       0.607
      1300.00    4.50    0.00    0.00       -33.575     -34.884     -35.500       1.310       1.926       0.616
      1300.00    5.00    0.00    0.00       -33.852     -34.986     -35.275       1.135       1.423       0.289
      1300.00    5.50    0.00    0.00       -34.078     -34.945     -35.051       0.866       0.973       0.106
      1400.00    3.00    0.00    0.00       -34.033     -34.959     -35.774       0.926       1.741       0.815
      1400.00    3.50    0.00    0.00       -34.001     -35.051     -35.858       1.050       1.856       0.806
