   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.53000  0.00000000000E+00   1.38907   4.04134  10.97794 -30.00000   0.47734   0.00000  0.00000E+00  9.43790E-01  4.28200E-02  1.19600E-03     0.29300     0.72980     0.00000     0.00050    -0.02260  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.53000  1.53490000000E+04   1.39268   4.04068  10.98107 -30.00000   0.47734   0.00000  0.00000E+00  9.43530E-01  4.30700E-02  1.20200E-03     0.28190     0.72500     0.00000     0.00050    -0.00663  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0003446553
        3    0.53000  3.45360000000E+04   1.39405   4.04069  10.98174 -30.00000   0.47734   0.00000  0.00000E+00  9.43200E-01  4.34000E-02  1.20900E-03     0.27520     0.72470     0.00000     0.00050     0.00044  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0007754913
        4    0.53000  5.85190000000E+04   1.39367   4.04103  10.98086 -30.00000   0.47734   0.00000  0.00000E+00  9.42790E-01  4.38000E-02  1.21800E-03     0.27130     0.72780     0.00000     0.00050     0.00128  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0013140195
        5    0.53000  8.84980000000E+04   1.39247   4.04154  10.97924 -30.00000   0.47734   0.00000  0.00000E+00  9.42270E-01  4.43100E-02  1.22900E-03     0.26830     0.73230     0.00000     0.00050    -0.00023  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0019871854
        6    0.53000  1.25972000000E+05   1.39096   4.04210  10.97737 -30.00000   0.47734   0.00000  0.00000E+00  9.41610E-01  4.49400E-02  1.24400E-03     0.26590     0.73720     0.00000     0.00050    -0.00264  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0028286483
        7    0.53000  1.72814000000E+05   1.38943   4.04265  10.97550 -30.00000   0.47734   0.00000  0.00000E+00  9.40800E-01  4.57400E-02  1.26200E-03     0.26380     0.74150     0.00000     0.00050    -0.00489  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0038804657
        8    0.53000  2.31367000000E+05   1.38797   4.04317  10.97374 -30.00000   0.47734   0.00000  0.00000E+00  9.39780E-01  4.67300E-02  1.28500E-03     0.26190     0.74500     0.00000     0.00050    -0.00651  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0051952486
        9    0.53000  3.04558000000E+05   1.38664   4.04363  10.97215 -30.00000   0.47734   0.00000  0.00000E+00  9.38500E-01  4.79800E-02  1.31500E-03     0.26020     0.74760     0.00000     0.00050    -0.00740  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0068387217
       10    0.53000  3.96046000000E+05   1.38546   4.04402  10.97079 -30.00000   0.47734   0.00000  0.00000E+00  9.36900E-01  4.95300E-02  1.35300E-03     0.25850     0.74960     0.00000     0.00050    -0.00772  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0088930463
