 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.09904211   0.692   0.05315   3.55497   6.02006  -0.79585   0.00000   9.840E-01   0.000E+00   1.570E-02
   2  5.32663524   0.692   0.04445   3.55475   6.02379  -0.78466   0.00000   9.441E-01   0.000E+00   5.584E-02
   3  5.47520209   0.692   0.03531   3.55452   6.02772  -0.77284   0.00000   9.397E-01   0.000E+00   6.046E-02
   4  5.58569556   0.692   0.02698   3.55433   6.03132  -0.76204   0.00000   9.429E-01   0.000E+00   5.725E-02
   5  5.67370201   0.692   0.01950   3.55413   6.03451  -0.75246   0.00000   9.461E-01   0.000E+00   5.396E-02
   6  5.74684450   0.692   0.01250   3.55394   6.03747  -0.74356   0.00000   9.495E-01   0.000E+00   5.061E-02
   7  5.80942589   0.692   0.00564   3.55375   6.04038  -0.73481   0.00000   9.521E-01   0.000E+00   4.802E-02
   8  5.86411475   0.692  -0.00081   3.55358   6.04314  -0.72652   0.00000   9.524E-01   0.000E+00   4.771E-02
   9  5.91268073   0.692  -0.00726   3.55340   6.04590  -0.71823   0.00000   9.528E-01   0.000E+00   4.739E-02
  10  5.95635783   0.692  -0.01377   3.55322   6.04867  -0.70992   0.00000   9.526E-01   0.000E+00   4.761E-02
  11  5.99604094   0.692  -0.02036   3.55303   6.05144  -0.70158   0.00000   9.517E-01   0.000E+00   4.864E-02
  12  6.03239969   0.692  -0.02695   3.55283   6.05421  -0.69324   0.00000   9.507E-01   0.000E+00   4.967E-02
  13  6.06594827   0.692  -0.03372   3.55263   6.05706  -0.68467   0.00000   9.491E-01   0.000E+00   5.120E-02
  14  6.09709009   0.692  -0.04091   3.55241   6.06009  -0.67558   0.00000   9.462E-01   0.000E+00   5.390E-02
  15  6.12614746   0.692  -0.04810   3.55220   6.06311  -0.66649   0.00000   9.432E-01   0.000E+00   5.660E-02
  16  6.15338201   0.692  -0.05558   3.55197   6.06625  -0.65705   0.00000   9.398E-01   0.000E+00   5.987E-02
  17  6.17900900   0.692  -0.06387   3.55171   6.06972  -0.64662   0.00000   9.351E-01   0.000E+00   6.476E-02
  18  6.20320768   0.692  -0.07217   3.55145   6.07319  -0.63619   0.00000   9.304E-01   0.000E+00   6.965E-02
  19  6.22612888   0.692  -0.08127   3.55115   6.07699  -0.62479   0.00000   9.238E-01   0.000E+00   7.629E-02
  20  6.24790076   0.692  -0.09124   3.55083   6.08113  -0.61232   0.00000   9.151E-01   0.000E+00   8.484E-02
  21  6.26863308   0.692  -0.10137   3.55049   6.08534  -0.59966   0.00000   9.060E-01   0.000E+00   9.383E-02
  22  6.28842062   0.692  -0.11362   3.55008   6.09041  -0.58439   0.00000   8.910E-01   0.000E+00   1.089E-01
  23  6.30734573   0.692  -0.12604   3.54966   6.09556  -0.56889   0.00000   8.754E-01   0.000E+00   1.246E-01
  24  6.32548048   0.692  -0.14120   3.54914   6.10184  -0.54999   0.00000   8.497E-01   0.000E+00   1.503E-01
  25  6.34288823   0.692  -0.15788   3.54857   6.10875  -0.52923   0.00000   8.171E-01   0.000E+00   1.829E-01
  26  6.35962504   0.692  -0.17700   3.54791   6.11666  -0.50545   0.00000   7.729E-01   0.000E+00   2.271E-01
  27  6.37574071   0.692  -0.19971   3.54714   6.12611  -0.47707   0.00000   7.073E-01   0.000E+00   2.927E-01
  28  6.39127970   0.692  -0.22690   3.54622   6.13743  -0.44302   0.00000   6.120E-01   0.000E+00   3.880E-01
  29  6.40628185   0.692  -0.25845   3.54521   6.15067  -0.40317   0.00000   4.873E-01   0.000E+00   5.127E-01
  30  6.42078304   0.692  -0.29396   3.54412   6.16573  -0.35793   0.00000   3.431E-01   0.000E+00   6.569E-01
  31  6.43481563   0.692  -0.33175   3.54307   6.18193  -0.30920   0.00000   2.061E-01   0.000E+00   7.938E-01
